Date ramassage,Durée (jours depuis dernier ramassage),Nombre d’oeufs,Poids des œufs,Nombre de poules
25/01/22,3,6,"62,61,67,57,63, 62",3
26/01/22,1,2,"58, 70",3
28/01/22,2,2,"62, 62",3
29/01/22,1,2,"60, 60",3
30/01/22,1,1,62,3
31/01/22,1,1,58,3
01/02/22,1,2,"65, 63",3
03/02/22,2,3,"65, 61, 59",3
05/02/22,2,2,"60, 61",3
06/02/22,1,1,61,3
07/02/22,1,0,,3
08/02/22,1,1,68,3
09/02/22,1,1,60,3
09/02/22,4,4,"64, 65, 67, 68",3
11/02/22,2,1,69,3
12/02/22,1,2,"62, 63",3
13/02/22,1,2,"66, 64",3
14/02/22,1,2,"58, 62",3
15/02/22,1,2,"58,63",3
16/02/22,1,1,61,3
17/02/22,1,1,71,3
20/02/22,3,5,"64, 59, 68, 57, 60",3
22/02/22,2,6,"64, 64, 63, 61, 60, 65",3
23/02/22,1,1,66,3
24/02/22,1,2,"64,64",3
27/02/22,3,7,"65, 60, 65, 60, 66, 53, 59",3
28/02/22,1,2,"61, 58",3
01/03/22,1,1,60,3
02/03/22,1,1,60,3
03/03/22,1,3,"60, 60, 58",3
06/03/22,3,5,"62, 64, 59, 60, 60",3
08/03/22,2,1,72,3
09/03/22,1,2,"61, 58",3
10/03/22,1,1,64,3
11/03/22,1,2,"61, 61",3
12/03/22,1,2,"59, 63",3
14/03/22,2,4,"45, 64, 59, 56",3
16/03/22,2,2,"60, 65",3
17/03/22,1,1,60,2
18/03/22,1,2,"59, 59",2
20/03/22,2,4,"59, 60, 63, 63",2
21/03/22,1,2,"63, 67",2
22/03/22,1,1,65,2
23/03/22,1,2,"58, 65",2
24/03/22,1,1,66,2
25/03/22,1,2,"57, 65",2
27/03/22,2,3,"61, 64 , 66",2
28/03/22,1,1,66,2
30/03/22,2,4,"56, 63, 63, 65",2
31/03/22,1,2,"63, 60",2
03/04/22,3,3,"62, 63, 68",2
04/04/22,1,1,62,2
05/04/22,1,2,"65, 65",2
06/04/22,1,0,,2
07/04/22,1,1,70,2
08/04/22,1,1,63,2
09/04/22,1,1,63,2
10/04/22,1,2,"60, 55",2
11/04/22,1,2,"52, 69",2
12/04/22,1,2,"59, 66",2
14/04/22,2,3,"65, 68, 62",2
18/04/22,4,5,"69, 68, 69, 62, 59",2
19/04/22,1,1,69,2
20/04/22,1,1,66,2
21/04/22,1,1,64,2
22/04/22,1,2,"66, 61",3
24/04/22,2,4,"61, 58, 65, 63",3
25/04/22,1,3,"57, 61, 64",3
27/04/22,2,4,"65, 58, 66, 59",3
28/04/22,1,1,66,3
29/04/22,1,2,"64, 60",3
01/05/22,2,5,"67, 59, 62, 71, 60",3
02/05/22,1,3,"61, 58,67",3
03/05/22,1,2,"61, 63",3
04/05/22,1,3,"58, 62, 61",3
05/05/22,1,1,61,3
08/05/22,3,7,"56, 63, 62, 65, 67, 62, 66",3
09/05/22,1,3,"57, 60, 68",3
10/05/22,1,2,"53, 55",3
11/05/22,1,1,63,3
13/05/22,2,5,"56, 59, 56, 65, 63",3
15/05/22,2,3,"61, 60, 58",3
17/05/22,2,4,"54, 57, 62, 57",3
18/05/22,1,3,"56, 60, 59",3
19/05/22,1,1,59,3
22/05/22,3,3,"65, 65, 62",3
23/05/22,1,2,"63, 58",3
24/05/22,1,2,"63, 63",3
25/05/22,1,2,"54, 60",3
26/05/22,1,1,59,3
27/05/22,1,1,65,3
29/05/22,2,3,"60, 63, 64",3
31/05/22,2,5,"52, 60, 66, 66, 58",3
01/06/22,1,3,"51, 56, 60",3
02/06/22,1,2,"53, 62",3
06/06/22,4,7,"57, 58, 58, 60, 58, 65, 59",3
